sample_number,cores,matrix_size,time
1,2,5000,14m37.411502663s
2,2,5000,15m32.044371624s
3,2,5000,14m13.241089308s
4,2,5000,15m47.064220927s
5,2,5000,14m55.698105569s
6,2,5000,15m59.16911514s
7,2,5000,14m14.142930452s
8,2,5000,16m34.797281466s
9,2,5000,15m5.66217499s
10,2,5000,14m9.488559322s
11,2,5000,15m12.472465024s
12,2,5000,14m15.93119556s
13,2,5000,14m23.618564181s
14,2,5000,15m20.984130512s
15,2,5000,14m52.764022644s
16,2,5000,13m31.022638654s
17,2,5000,15m30.349281978s
18,2,5000,15m5.735673901s
19,2,5000,15m58.618820186s
20,2,5000,15m23.407570696s
21,2,5000,14m8.450811188s
22,2,5000,14m56.724548434s
23,2,5000,16m0.304312559s
24,2,5000,16m23.931330251s
25,2,5000,13m43.552266668s
26,2,5000,15m54.216483801s
27,2,5000,15m34.638826374s
28,2,5000,14m31.560504342s
29,2,5000,14m17.959689952s
30,2,5000,15m12.623365374s
31,2,5000,14m54.913739706s
32,2,5000,15m21.340489377s
33,2,5000,15m25.412824829s
34,2,5000,14m20.982837231s
35,2,5000,16m25.063601734s
36,2,5000,15m59.285052851s
37,2,5000,19m7.656790896s
38,2,5000,18m50.780770277s
39,2,5000,17m40.274799902s
40,2,5000,19m23.697729988s
41,2,5000,17m26.820087014s
42,2,5000,16m33.398159161s
43,2,5000,15m50.822041375s
44,2,5000,16m25.00278304s
45,2,5000,16m16.954376674s
46,2,5000,15m28.223299754s
47,2,5000,15m43.82466733s
48,2,5000,16m49.853712066s
49,2,5000,14m59.631037632s
50,2,5000,15m39.967472864s
51,2,5000,15m56.0478135s
52,2,5000,15m51.619204329s
53,2,5000,15m28.7205289s
54,2,5000,16m0.361784136s
55,2,5000,14m40.805486814s
56,2,5000,14m15.365290866s
57,2,5000,14m34.637828002s
58,2,5000,15m31.857827752s
59,2,5000,14m27.6201501s
60,2,5000,17m13.389492254s
61,2,5000,15m50.023882581s
62,2,5000,15m12.019986623s
63,2,5000,16m32.715951869s
64,2,5000,15m2.044233611s
65,2,5000,14m21.686023051s
66,2,5000,17m12.080203597s
67,2,5000,15m5.506859413s
68,2,5000,16m20.205401649s
69,2,5000,14m7.272820293s
70,2,5000,15m17.016107661s
71,2,5000,15m46.862182305s
72,2,5000,16m10.485907025s
73,2,5000,16m31.649474451s
74,2,5000,15m9.082600726s
75,2,5000,16m10.226992124s
76,2,5000,14m55.680743698s
77,2,5000,15m46.414642674s
78,2,5000,15m1.121704423s
79,2,5000,16m12.32278978s
80,2,5000,14m56.881577771s
81,2,5000,14m49.496897756s
82,2,5000,15m33.360242041s
83,2,5000,14m24.996660842s
84,2,5000,15m31.055246281s
85,2,5000,15m43.783925385s
86,2,5000,15m36.181654888s
87,2,5000,16m6.557546965s
88,2,5000,15m47.313583501s
89,2,5000,14m54.010576647s
90,2,5000,15m17.628012828s
91,2,5000,15m18.149129949s
92,2,5000,14m0.454621877s
93,2,5000,15m35.016971188s
94,2,5000,15m54.882896106s
95,2,5000,15m4.249248855s
96,2,5000,14m53.19794075s
97,2,5000,15m19.623595501s
98,2,5000,15m26.733503842s
99,2,5000,14m43.627532046s
100,2,5000,15m21.153133229s
