sample_number,cores,matrix_size,time
1,4,5000,7m39.239896988s
2,4,5000,7m41.2022488s
3,4,5000,7m52.878306198s
4,4,5000,7m58.532862749s
5,4,5000,7m36.170549515s
6,4,5000,8m5.487158924s
7,4,5000,7m59.530210621s
8,4,5000,7m29.769003496s
9,4,5000,7m53.735807014s
10,4,5000,7m45.912733199s
11,4,5000,7m33.260383007s
12,4,5000,7m44.186448379s
13,4,5000,7m48.300062759s
14,4,5000,7m49.761827303s
15,4,5000,7m33.955619807s
16,4,5000,7m46.924366461s
17,4,5000,7m46.225861377s
18,4,5000,7m22.830638048s
19,4,5000,7m44.057169822s
20,4,5000,8m1.921339378s
21,4,5000,7m40.879642561s
22,4,5000,7m43.535892355s
23,4,5000,7m39.816146589s
24,4,5000,7m45.842613137s
25,4,5000,7m39.084443415s
26,4,5000,8m2.488296215s
27,4,5000,7m32.014315301s
28,4,5000,7m49.06282236s
29,4,5000,7m48.196806527s
30,4,5000,7m59.651496165s
31,4,5000,7m45.945922039s
32,4,5000,8m3.817818345s
33,4,5000,7m57.11393896s
34,4,5000,7m50.18537557s
35,4,5000,8m0.611502489s
36,4,5000,7m55.642504299s
37,4,5000,7m35.869052109s
38,4,5000,7m41.609537953s
39,4,5000,7m50.65736311s
40,4,5000,8m12.693767793s
41,4,5000,7m28.907032863s
42,4,5000,7m54.459386204s
43,4,5000,7m54.38897557s
44,4,5000,7m44.273248213s
45,4,5000,7m54.884801874s
46,4,5000,8m0.517473605s
47,4,5000,7m48.404983967s
48,4,5000,7m43.79309894s
49,4,5000,8m4.151850859s
50,4,5000,8m4.86708937s
