sample_number,cores,matrix_size,time
1,1,5000,28m36.624358547s
2,1,5000,34m21.940891229s
3,1,5000,32m50.489272704s
4,1,5000,29m56.419069125s
5,1,5000,29m20.286123645s
6,1,5000,27m26.803787345s
7,1,5000,32m53.839812061s
8,1,5000,31m37.511178341s
9,1,5000,28m16.055871541s
10,1,5000,30m23.610902548s
11,1,5000,30m49.700434216s
12,1,5000,31m18.569386253s
13,1,5000,32m8.542491954s
14,1,5000,29m4.162628622s
15,1,5000,31m22.394457854s
16,1,5000,31m55.179584516s
17,1,5000,33m23.472581521s
18,1,5000,29m48.9120788s
19,1,5000,32m39.21530731s
20,1,5000,29m0.600060561s
21,1,5000,31m8.863100174s
22,1,5000,29m48.59333719s
23,1,5000,29m48.153359358s
24,1,5000,30m3.280266935s
25,1,5000,26m32.859183701s
26,1,5000,31m19.234742135s
27,1,5000,29m53.786622095s
28,1,5000,27m39.068686315s
29,1,5000,30m3.065401537s
30,1,5000,29m26.862120864s
31,1,5000,28m13.949360855s
32,1,5000,31m57.060458554s
33,1,5000,29m37.145065984s
34,1,5000,30m56.626932312s
35,1,5000,31m59.763438615s
36,1,5000,29m54.622946949s
37,1,5000,31m46.004478719s
38,1,5000,32m53.559540828s
39,1,5000,32m19.637744425s
40,1,5000,29m48.703708066s
41,1,5000,30m51.664101959s
42,1,5000,30m59.397369853s
43,1,5000,29m6.350538222s
44,1,5000,31m12.995536519s
45,1,5000,29m37.353213145s
46,1,5000,31m12.393748528s
47,1,5000,29m23.302608316s
48,1,5000,29m35.995165788s
49,1,5000,30m46.52549747s
50,1,5000,30m49.454458521s
