sample_number,cores,matrix_size,time
1,4,100,6.287403ms
2,4,100,5.567203ms
3,4,100,5.675804ms
4,4,100,5.531704ms
5,4,100,12.670708ms
6,4,100,5.735204ms
7,4,100,5.800404ms
8,4,100,6.473003ms
9,4,100,5.808003ms
10,4,100,7.303504ms
11,4,100,5.620603ms
12,4,100,8.418105ms
13,4,100,5.828304ms
14,4,100,5.906104ms
15,4,100,9.325406ms
16,4,100,5.924304ms
17,4,100,9.464706ms
18,4,100,5.583703ms
19,4,100,5.502703ms
20,4,100,5.887803ms
21,4,100,8.954306ms
22,4,100,5.624803ms
23,4,100,5.805404ms
24,4,100,9.251006ms
25,4,100,5.707704ms
26,4,100,5.998404ms
27,4,100,8.997006ms
28,4,100,5.470304ms
29,4,100,5.903104ms
30,4,100,9.378306ms
31,4,100,6.045804ms
32,4,100,9.592806ms
33,4,100,5.759603ms
34,4,100,5.941103ms
35,4,100,5.997003ms
36,4,100,5.375303ms
37,4,100,8.776806ms
38,4,100,5.625003ms
39,4,100,11.477607ms
40,4,100,5.222804ms
41,4,100,6.223904ms
42,4,100,5.953504ms
43,4,100,6.231604ms
44,4,100,5.808703ms
45,4,100,5.990003ms
46,4,100,6.112303ms
47,4,100,5.865604ms
48,4,100,7.162504ms
49,4,100,5.821003ms
50,4,100,5.585603ms
