sample_number,cores,matrix_size,time
1,2,5000,2m23.163374397s
2,2,5000,2m22.673937543s
3,2,5000,2m23.863411317s
4,2,5000,2m23.043233319s
5,2,5000,2m23.527475593s
6,2,5000,2m22.349353499s
7,2,5000,2m22.353836016s
8,2,5000,2m22.185024251s
9,2,5000,2m22.374594579s
10,2,5000,2m21.724995366s
11,2,5000,2m22.339458951s
12,2,5000,2m22.418041519s
13,2,5000,2m22.36501913s
14,2,5000,2m21.773604035s
15,2,5000,2m22.087952136s
16,2,5000,2m22.269095874s
17,2,5000,2m22.040075126s
18,2,5000,2m22.866264506s
19,2,5000,2m22.769907346s
20,2,5000,2m22.224702957s
21,2,5000,2m22.349303446s
22,2,5000,2m22.305211308s
23,2,5000,2m21.776373575s
24,2,5000,2m22.14933575s
25,2,5000,2m22.37024464s
26,2,5000,2m22.250404279s
27,2,5000,2m22.537176184s
28,2,5000,2m22.041762876s
29,2,5000,2m23.504773433s
30,2,5000,2m22.735884626s
31,2,5000,2m22.428567114s
32,2,5000,2m21.723268455s
33,2,5000,2m22.128542178s
34,2,5000,2m22.242563796s
35,2,5000,2m22.034626525s
36,2,5000,2m22.147930623s
37,2,5000,2m21.988941486s
38,2,5000,2m21.752547598s
39,2,5000,2m22.414524293s
40,2,5000,2m22.267803505s
41,2,5000,2m23.032580382s
42,2,5000,2m22.750092012s
43,2,5000,2m22.765001575s
44,2,5000,2m22.185559652s
45,2,5000,2m22.988098632s
46,2,5000,2m21.933056s
47,2,5000,2m22.31239869s
48,2,5000,2m22.202889822s
49,2,5000,2m21.767422248s
50,2,5000,2m22.296141635s
