sample_number,cores,matrix_size,time
1,4,5000,1m22.323057765s
2,4,5000,1m22.325152996s
3,4,5000,1m22.412238368s
4,4,5000,1m22.327177129s
5,4,5000,1m22.002580857s
6,4,5000,1m22.323597054s
7,4,5000,1m22.880499766s
8,4,5000,1m22.996081047s
9,4,5000,1m22.29975726s
10,4,5000,1m22.605258963s
11,4,5000,1m22.342611871s
12,4,5000,1m22.516597222s
13,4,5000,1m22.310599465s
14,4,5000,1m22.415387543s
15,4,5000,1m22.3254405s
16,4,5000,1m22.284568395s
17,4,5000,1m21.984626697s
18,4,5000,1m22.282490568s
19,4,5000,1m22.315078048s
20,4,5000,1m22.282461407s
21,4,5000,1m22.28070942s
22,4,5000,1m22.38764635s
23,4,5000,1m22.341653274s
24,4,5000,1m22.35050674s
25,4,5000,1m23.286088473s
26,4,5000,1m21.873245948s
27,4,5000,1m23.265965215s
28,4,5000,1m22.297263375s
29,4,5000,1m23.288408246s
30,4,5000,1m22.31481401s
31,4,5000,1m23.357328594s
32,4,5000,1m22.398801151s
33,4,5000,1m23.31646426s
34,4,5000,1m21.92629191s
35,4,5000,1m23.348622906s
36,4,5000,1m22.300349369s
37,4,5000,1m23.345531066s
38,4,5000,1m22.330672985s
39,4,5000,1m23.424012878s
40,4,5000,1m22.30379664s
41,4,5000,1m23.036574911s
42,4,5000,1m22.365133549s
43,4,5000,1m23.136202653s
44,4,5000,1m22.325808826s
45,4,5000,1m23.295495971s
46,4,5000,1m22.399795509s
47,4,5000,1m23.064339405s
48,4,5000,1m22.381202218s
49,4,5000,1m22.8537268s
50,4,5000,1m22.349471641s
