sample_number,cores,matrix_size,time
1,4,4000,44.005636712s
2,4,4000,44.796965169s
3,4,4000,45.65354972s
4,4,4000,46.736339008s
5,4,4000,45.006902586s
6,4,4000,43.746866657s
7,4,4000,44.029108569s
8,4,4000,44.0186106s
9,4,4000,43.692551363s
10,4,4000,44.031179259s
11,4,4000,44.242622762s
12,4,4000,44.045753352s
13,4,4000,44.013993723s
14,4,4000,44.001564906s
15,4,4000,44.022788631s
16,4,4000,44.040644768s
17,4,4000,44.04848133s
18,4,4000,44.375954388s
19,4,4000,44.079393836s
20,4,4000,44.050025526s
21,4,4000,44.000791499s
22,4,4000,44.027976052s
23,4,4000,44.099079654s
24,4,4000,44.909624056s
25,4,4000,44.093338177s
26,4,4000,44.022028081s
27,4,4000,44.031399058s
28,4,4000,44.401010356s
29,4,4000,44.182713436s
30,4,4000,44.578038376s
31,4,4000,44.072202472s
32,4,4000,43.844481206s
33,4,4000,44.559060309s
34,4,4000,44.603681557s
35,4,4000,45.034584148s
36,4,4000,44.593569323s
37,4,4000,44.572988477s
38,4,4000,44.574195781s
39,4,4000,44.292172268s
40,4,4000,44.258622049s
41,4,4000,44.5322804s
42,4,4000,46.184774411s
43,4,4000,45.882719292s
44,4,4000,44.206382209s
45,4,4000,44.000188367s
46,4,4000,44.167449828s
47,4,4000,45.907033739s
48,4,4000,44.864892254s
49,4,4000,44.366104543s
50,4,4000,44.046901423s
