sample_number,cores,matrix_size,time
1,2,100,6.371211ms
2,2,100,6.446011ms
3,2,100,6.189711ms
4,2,100,6.122311ms
5,2,100,6.443511ms
6,2,100,6.729512ms
7,2,100,6.367511ms
8,2,100,7.009513ms
9,2,100,6.090811ms
10,2,100,6.594712ms
11,2,100,6.473312ms
12,2,100,5.95391ms
13,2,100,6.746712ms
14,2,100,6.466511ms
15,2,100,6.209311ms
16,2,100,6.565211ms
17,2,100,6.852412ms
18,2,100,6.754112ms
19,2,100,6.332511ms
20,2,100,6.589212ms
21,2,100,6.671512ms
22,2,100,6.684012ms
23,2,100,6.230711ms
24,2,100,6.049911ms
25,2,100,12.164121ms
26,2,100,6.231611ms
27,2,100,6.415211ms
28,2,100,6.627311ms
29,2,100,6.360311ms
30,2,100,6.894912ms
31,2,100,6.279411ms
32,2,100,6.547911ms
33,2,100,12.001921ms
34,2,100,8.382914ms
35,2,100,7.097213ms
36,2,100,6.463711ms
37,2,100,7.257513ms
38,2,100,6.725812ms
39,2,100,7.277413ms
40,2,100,6.347411ms
41,2,100,6.160311ms
42,2,100,6.387511ms
43,2,100,6.236411ms
44,2,100,9.823618ms
45,2,100,6.120611ms
46,2,100,6.236511ms
47,2,100,6.754612ms
48,2,100,6.246211ms
49,2,100,6.06471ms
50,2,100,6.268111ms
