sample_number,cores,matrix_size,time
1,2,1000,2.199684686s
2,2,1000,2.18716216s
3,2,1000,2.207038286s
4,2,1000,2.163268812s
5,2,1000,2.209977681s
6,2,1000,2.210262075s
7,2,1000,2.187026933s
8,2,1000,2.230915097s
9,2,1000,2.187504524s
10,2,1000,2.181059308s
11,2,1000,2.199872333s
12,2,1000,2.187375809s
13,2,1000,2.199828923s
14,2,1000,2.185797296s
15,2,1000,2.216584938s
16,2,1000,2.167179256s
17,2,1000,2.174629163s
18,2,1000,2.171234153s
19,2,1000,2.186502372s
20,2,1000,2.184064763s
21,2,1000,2.168645735s
22,2,1000,2.182138951s
23,2,1000,2.177549139s
24,2,1000,2.201812271s
25,2,1000,2.199940263s
26,2,1000,2.215792183s
27,2,1000,2.18419813s
28,2,1000,2.145132066s
29,2,1000,2.17776641s
30,2,1000,2.162597683s
31,2,1000,2.201814437s
32,2,1000,2.182676204s
33,2,1000,2.172673884s
34,2,1000,2.214776943s
35,2,1000,2.173006576s
36,2,1000,2.183333386s
37,2,1000,2.169563961s
38,2,1000,2.196651998s
39,2,1000,2.220912629s
40,2,1000,2.173098753s
41,2,1000,2.222959123s
42,2,1000,2.189950069s
43,2,1000,2.177262046s
44,2,1000,2.215288698s
45,2,1000,2.227503412s
46,2,1000,2.165505215s
47,2,1000,2.176930827s
48,2,1000,2.166019708s
49,2,1000,2.144960472s
50,2,1000,2.184030626s
