sample_number,cores,matrix_size,time
1,4,3000,33.607020483s
2,4,3000,33.480206124s
3,4,3000,33.544255022s
4,4,3000,33.55925007s
5,4,3000,33.577349653s
6,4,3000,33.582209043s
7,4,3000,33.491369907s
8,4,3000,33.455359687s
9,4,3000,33.396612755s
10,4,3000,33.352565469s
11,4,3000,33.450193428s
12,4,3000,33.331834267s
13,4,3000,33.307057371s
14,4,3000,33.431312523s
15,4,3000,33.416175873s
16,4,3000,33.408671732s
17,4,3000,33.398246511s
18,4,3000,33.3468547s
19,4,3000,33.381543163s
20,4,3000,33.464840629s
21,4,3000,33.451148547s
22,4,3000,33.422388167s
23,4,3000,33.387453002s
24,4,3000,33.360238349s
25,4,3000,33.486414696s
26,4,3000,33.414236623s
27,4,3000,33.447081696s
28,4,3000,33.345071205s
29,4,3000,33.492364971s
30,4,3000,33.557674376s
31,4,3000,33.452911066s
32,4,3000,33.478272858s
33,4,3000,33.500549412s
34,4,3000,33.556277522s
35,4,3000,33.424213415s
36,4,3000,33.468393402s
37,4,3000,33.468986925s
38,4,3000,33.594368043s
39,4,3000,33.558522048s
40,4,3000,33.495558994s
41,4,3000,33.427378283s
42,4,3000,33.580879727s
43,4,3000,33.578750159s
44,4,3000,33.527558964s
45,4,3000,33.652763281s
46,4,3000,33.572377565s
47,4,3000,33.521446551s
48,4,3000,33.487495043s
49,4,3000,33.473882253s
50,4,3000,33.47628919s
