sample_number,cores,matrix_size,time
1,4,1000,1.523611146s
2,4,1000,1.540522068s
3,4,1000,1.528049048s
4,4,1000,1.534189355s
5,4,1000,1.544237268s
6,4,1000,1.53398115s
7,4,1000,1.546939167s
8,4,1000,1.533100644s
9,4,1000,1.535425847s
10,4,1000,1.534530242s
11,4,1000,1.539690848s
12,4,1000,1.531796135s
13,4,1000,1.547177755s
14,4,1000,1.529021527s
15,4,1000,1.531500629s
16,4,1000,1.534929831s
17,4,1000,1.517096303s
18,4,1000,1.529511919s
19,4,1000,1.527907514s
20,4,1000,1.527163812s
21,4,1000,1.526760109s
22,4,1000,1.517125594s
23,4,1000,1.550609839s
24,4,1000,1.536332017s
25,4,1000,1.527903402s
26,4,1000,1.541835321s
27,4,1000,1.519646487s
28,4,1000,1.525509493s
29,4,1000,1.536007607s
30,4,1000,1.541337213s
31,4,1000,1.519113579s
32,4,1000,1.54233491s
33,4,1000,1.537434601s
34,4,1000,1.533607694s
35,4,1000,1.530064986s
36,4,1000,1.53379249s
37,4,1000,1.510683455s
38,4,1000,1.523347871s
39,4,1000,1.531449381s
40,4,1000,1.540933993s
41,4,1000,1.537400786s
42,4,1000,1.533230677s
43,4,1000,1.525025464s
44,4,1000,1.526769265s
45,4,1000,1.530938069s
46,4,1000,1.503483129s
47,4,1000,1.537962176s
48,4,1000,1.518682146s
49,4,1000,1.533568266s
50,4,1000,1.539174671s
