sample_number,cores,matrix_size,time
1,1,1000,2.653837956s
2,1,1000,2.665885166s
3,1,1000,2.672449867s
4,1,1000,2.659827735s
5,1,1000,2.640146891s
6,1,1000,2.633499269s
7,1,1000,2.634991562s
8,1,1000,2.640473062s
9,1,1000,2.669996704s
10,1,1000,2.617411303s
11,1,1000,2.628130812s
12,1,1000,2.652011643s
13,1,1000,2.628372493s
14,1,1000,2.679373271s
15,1,1000,2.675913655s
16,1,1000,2.634424475s
17,1,1000,2.634858267s
18,1,1000,2.620257833s
19,1,1000,2.677807321s
20,1,1000,2.65338517s
21,1,1000,2.648549053s
22,1,1000,2.639738729s
23,1,1000,2.660518855s
24,1,1000,2.67516047s
25,1,1000,2.654267026s
26,1,1000,2.636883088s
27,1,1000,2.658032915s
28,1,1000,2.667402222s
29,1,1000,2.649979484s
30,1,1000,2.655831985s
31,1,1000,2.641236852s
32,1,1000,2.653696463s
33,1,1000,2.640855734s
34,1,1000,2.664972165s
35,1,1000,2.644391122s
36,1,1000,2.664200847s
37,1,1000,2.655556724s
38,1,1000,2.640761592s
39,1,1000,2.622000353s
40,1,1000,2.631011959s
41,1,1000,2.601609104s
42,1,1000,2.653859481s
43,1,1000,2.624452925s
44,1,1000,2.673931796s
45,1,1000,2.673751188s
46,1,1000,2.635763019s
47,1,1000,2.644911425s
48,1,1000,2.618790076s
49,1,1000,2.673617755s
50,1,1000,2.648160907s
