sample_number,cores,matrix_size,time
1,1,4000,2m12.373217074s
2,1,4000,2m12.124054153s
3,1,4000,2m12.4180914s
4,1,4000,2m12.15740654s
5,1,4000,2m12.251152588s
6,1,4000,2m12.15896258s
7,1,4000,2m12.169774749s
8,1,4000,2m12.133580444s
9,1,4000,2m12.377416283s
10,1,4000,2m12.121903965s
11,1,4000,2m12.168858693s
12,1,4000,2m12.363476747s
13,1,4000,2m12.379096522s
14,1,4000,2m12.333707036s
15,1,4000,2m12.613634665s
16,1,4000,2m12.383500261s
17,1,4000,2m12.107209707s
18,1,4000,2m12.148971717s
19,1,4000,2m12.133510905s
20,1,4000,2m12.316367695s
21,1,4000,2m12.670608201s
22,1,4000,2m12.397432499s
23,1,4000,2m12.337342584s
24,1,4000,2m12.402483057s
25,1,4000,2m12.11935749s
26,1,4000,2m12.617020467s
27,1,4000,2m12.284472463s
28,1,4000,2m12.398144028s
29,1,4000,2m12.403862611s
30,1,4000,2m12.151864083s
31,1,4000,2m12.160079884s
32,1,4000,2m12.383113344s
33,1,4000,2m12.188234672s
34,1,4000,2m12.189865219s
35,1,4000,2m12.098972042s
36,1,4000,2m12.190766403s
37,1,4000,2m12.115688683s
38,1,4000,2m12.293924564s
39,1,4000,2m12.111574601s
40,1,4000,2m12.132211514s
41,1,4000,2m12.403264399s
42,1,4000,2m12.28445967s
43,1,4000,2m12.39138034s
44,1,4000,2m12.16175747s
45,1,4000,2m12.354854701s
46,1,4000,2m12.342043714s
47,1,4000,2m12.406077469s
48,1,4000,2m12.092437324s
49,1,4000,2m12.159519162s
50,1,4000,2m12.161357783s
