sample_number,cores,matrix_size,time
1,2,2000,8.2583209s
2,2,2000,7.867735253s
3,2,2000,7.830994206s
4,2,2000,8.419929796s
5,2,2000,8.151884549s
6,2,2000,8.168315652s
7,2,2000,8.568652967s
8,2,2000,8.180804662s
9,2,2000,8.207397837s
10,2,2000,7.849746897s
11,2,2000,8.130431318s
12,2,2000,8.154783458s
13,2,2000,8.290816763s
14,2,2000,8.210055105s
15,2,2000,8.386233555s
16,2,2000,8.245398364s
17,2,2000,8.113248287s
18,2,2000,7.846026101s
19,2,2000,8.336971871s
20,2,2000,8.196328446s
21,2,2000,8.322282814s
22,2,2000,8.037699522s
23,2,2000,8.122540429s
24,2,2000,8.182094095s
25,2,2000,8.1591957s
26,2,2000,8.107899114s
27,2,2000,8.01244315s
28,2,2000,8.003330278s
29,2,2000,8.063075238s
30,2,2000,8.442071939s
31,2,2000,7.787351707s
32,2,2000,8.294149972s
33,2,2000,8.302925651s
34,2,2000,7.825161765s
35,2,2000,8.232193195s
36,2,2000,8.225758255s
37,2,2000,8.335070003s
38,2,2000,8.15956281s
39,2,2000,8.104854429s
40,2,2000,8.466850029s
41,2,2000,8.350020141s
42,2,2000,8.053239212s
43,2,2000,8.288433872s
44,2,2000,8.640126637s
45,2,2000,8.171928126s
46,2,2000,8.371717302s
47,2,2000,8.324777241s
48,2,2000,7.851279995s
49,2,2000,8.354641308s
50,2,2000,8.276440316s
