sample_number,cores,matrix_size,time
1,2,100,1.391246ms
2,2,100,1.412069ms
3,2,100,1.195488ms
4,2,100,2.153395ms
5,2,100,1.217764ms
6,2,100,1.157185ms
7,2,100,1.165245ms
8,2,100,1.165472ms
9,2,100,1.415855ms
10,2,100,1.337587ms
11,2,100,2.081204ms
12,2,100,1.152863ms
13,2,100,1.172102ms
14,2,100,1.168408ms
15,2,100,1.300037ms
16,2,100,1.304547ms
17,2,100,1.19432ms
18,2,100,1.234925ms
19,2,100,1.203146ms
20,2,100,1.185346ms
21,2,100,1.176661ms
22,2,100,1.133986ms
23,2,100,1.119587ms
24,2,100,1.435347ms
25,2,100,1.500197ms
26,2,100,1.4816ms
27,2,100,1.538057ms
28,2,100,1.224996ms
29,2,100,1.310516ms
30,2,100,2.31345ms
31,2,100,1.925222ms
32,2,100,1.171668ms
33,2,100,1.159802ms
34,2,100,1.431247ms
35,2,100,1.316978ms
36,2,100,1.174852ms
37,2,100,2.347789ms
38,2,100,1.197118ms
39,2,100,1.179568ms
40,2,100,1.204591ms
41,2,100,1.199101ms
42,2,100,1.127722ms
43,2,100,1.185369ms
44,2,100,1.185229ms
45,2,100,1.153462ms
46,2,100,1.16428ms
47,2,100,1.161081ms
48,2,100,1.164008ms
49,2,100,1.127299ms
50,2,100,1.15197ms
