sample_number,cores,matrix_size,time
1,2,1000,1.058124125s
2,2,1000,1.070128636s
3,2,1000,1.09662605s
4,2,1000,1.096050423s
5,2,1000,1.084035179s
6,2,1000,1.095536988s
7,2,1000,1.102339587s
8,2,1000,1.095736223s
9,2,1000,1.075497326s
10,2,1000,1.02925689s
11,2,1000,1.073263801s
12,2,1000,1.055424297s
13,2,1000,1.026066682s
14,2,1000,1.066889853s
15,2,1000,1.057056475s
16,2,1000,1.087076881s
17,2,1000,1.057652073s
18,2,1000,1.056376402s
19,2,1000,1.019080201s
20,2,1000,1.066920596s
21,2,1000,1.022795149s
22,2,1000,1.03664381s
23,2,1000,1.060319961s
24,2,1000,1.052708049s
25,2,1000,1.047067965s
26,2,1000,1.049007967s
27,2,1000,1.046497364s
28,2,1000,1.051331114s
29,2,1000,1.053664264s
30,2,1000,1.051419477s
31,2,1000,1.068335812s
32,2,1000,1.056581156s
33,2,1000,1.049399993s
34,2,1000,1.050305604s
35,2,1000,1.048903202s
36,2,1000,1.047492102s
37,2,1000,1.047497308s
38,2,1000,1.008876226s
39,2,1000,1.047488537s
40,2,1000,1.046706268s
41,2,1000,1.046130493s
42,2,1000,1.050805757s
43,2,1000,1.063901179s
44,2,1000,1.055941095s
45,2,1000,1.057054141s
46,2,1000,1.043632525s
47,2,1000,1.050429552s
48,2,1000,1.022373545s
49,2,1000,1.059586711s
50,2,1000,1.069680814s
