sample_number,cores,matrix_size,time
1,4,1000,777.694744ms
2,4,1000,685.933303ms
3,4,1000,712.597109ms
4,4,1000,728.744005ms
5,4,1000,769.14816ms
6,4,1000,629.232109ms
7,4,1000,759.327582ms
8,4,1000,686.632631ms
9,4,1000,729.745028ms
10,4,1000,683.102731ms
11,4,1000,711.870562ms
12,4,1000,790.487007ms
13,4,1000,770.038935ms
14,4,1000,731.652583ms
15,4,1000,649.015406ms
16,4,1000,889.21533ms
17,4,1000,859.300292ms
18,4,1000,719.68828ms
19,4,1000,679.070574ms
20,4,1000,603.683235ms
21,4,1000,636.175393ms
22,4,1000,733.207246ms
23,4,1000,693.84524ms
24,4,1000,655.150398ms
25,4,1000,772.51341ms
26,4,1000,599.611767ms
27,4,1000,785.092655ms
28,4,1000,671.311271ms
29,4,1000,841.871808ms
30,4,1000,594.993143ms
31,4,1000,609.074354ms
32,4,1000,668.063449ms
33,4,1000,669.084312ms
34,4,1000,637.984875ms
35,4,1000,632.537454ms
36,4,1000,610.383566ms
37,4,1000,783.423856ms
38,4,1000,692.171087ms
39,4,1000,731.482991ms
40,4,1000,726.05145ms
41,4,1000,568.876258ms
42,4,1000,748.596975ms
43,4,1000,641.272941ms
44,4,1000,645.740348ms
45,4,1000,724.630394ms
46,4,1000,616.990733ms
47,4,1000,838.55307ms
48,4,1000,767.957733ms
49,4,1000,736.788952ms
50,4,1000,744.739675ms
