sample_number,cores,matrix_size,time
1,4,3000,14.33925484s
2,4,3000,27.286912173s
3,4,3000,27.907912833s
4,4,3000,14.21906428s
5,4,3000,27.9092247s
6,4,3000,28.278198829s
7,4,3000,27.825171202s
8,4,3000,27.992154174s
9,4,3000,27.932258559s
10,4,3000,27.934114784s
11,4,3000,27.957391298s
12,4,3000,14.746508667s
13,4,3000,27.991875571s
14,4,3000,14.736040519s
15,4,3000,27.993389494s
16,4,3000,27.906484433s
17,4,3000,28.012607898s
18,4,3000,27.307310117s
19,4,3000,14.711715757s
20,4,3000,14.746213046s
21,4,3000,14.278787991s
22,4,3000,14.254284236s
23,4,3000,27.947724532s
24,4,3000,27.76628068s
25,4,3000,28.032521629s
26,4,3000,27.915787649s
27,4,3000,28.694619558s
28,4,3000,27.84456698s
29,4,3000,14.086594088s
30,4,3000,14.406744404s
31,4,3000,27.87113594s
32,4,3000,14.720878567s
33,4,3000,13.774237525s
34,4,3000,14.191122006s
35,4,3000,27.900690665s
36,4,3000,14.380111233s
37,4,3000,14.435360481s
38,4,3000,14.012975313s
39,4,3000,14.299890041s
40,4,3000,28.15794744s
41,4,3000,13.832534971s
42,4,3000,14.276923722s
43,4,3000,27.917275394s
44,4,3000,27.464819314s
45,4,3000,14.84427838s
46,4,3000,28.000818454s
47,4,3000,27.966504614s
48,4,3000,14.746355277s
49,4,3000,27.853542489s
50,4,3000,29.133245609s
