sample_number,cores,matrix_size,time
1,4,5000,1m8.051648347s
2,4,5000,1m7.916668304s
3,4,5000,1m8.055497698s
4,4,5000,1m8.054726504s
5,4,5000,1m8.018276817s
6,4,5000,1m7.920566027s
7,4,5000,1m8.055178547s
8,4,5000,1m8.196900627s
9,4,5000,1m8.088160266s
10,4,5000,1m7.931936329s
11,4,5000,1m7.934443081s
12,4,5000,1m7.902172645s
13,4,5000,1m7.978999722s
14,4,5000,1m8.066660143s
15,4,5000,1m7.936590821s
16,4,5000,1m8.141054009s
17,4,5000,1m7.964767586s
18,4,5000,1m7.917038017s
19,4,5000,1m8.109439714s
20,4,5000,1m7.910821602s
21,4,5000,1m7.87139809s
22,4,5000,1m7.916888967s
23,4,5000,1m7.917160847s
24,4,5000,1m8.094130309s
25,4,5000,1m8.2112318s
26,4,5000,1m8.01644689s
27,4,5000,1m7.88879833s
28,4,5000,1m7.933227643s
29,4,5000,1m8.182219262s
30,4,5000,1m7.915768714s
31,4,5000,1m7.930959516s
32,4,5000,1m7.869486264s
33,4,5000,1m7.846490678s
34,4,5000,1m8.103919251s
35,4,5000,1m7.958942635s
36,4,5000,1m8.000030289s
37,4,5000,1m8.00436513s
38,4,5000,1m7.94682691s
39,4,5000,1m7.999771485s
40,4,5000,1m8.029121338s
41,4,5000,1m8.0687891s
42,4,5000,1m8.296808409s
43,4,5000,1m7.916681683s
44,4,5000,1m7.888440317s
45,4,5000,1m8.024874705s
46,4,5000,1m7.813201923s
47,4,5000,1m7.871768278s
48,4,5000,1m7.991367131s
49,4,5000,1m7.945094862s
50,4,5000,1m8.085175296s
