sample_number,cores,matrix_size,time
1,1,100,2.806333ms
2,1,100,2.906872ms
3,1,100,2.038363ms
4,1,100,2.211778ms
5,1,100,2.095894ms
6,1,100,2.467388ms
7,1,100,2.374903ms
8,1,100,2.37936ms
9,1,100,2.094182ms
10,1,100,2.126124ms
11,1,100,2.261819ms
12,1,100,2.165585ms
13,1,100,2.047514ms
14,1,100,2.030702ms
15,1,100,2.121186ms
16,1,100,2.024288ms
17,1,100,2.080753ms
18,1,100,2.033714ms
19,1,100,2.117219ms
20,1,100,2.058709ms
21,1,100,2.07149ms
22,1,100,2.041056ms
23,1,100,2.020141ms
24,1,100,2.247136ms
25,1,100,2.227677ms
26,1,100,2.23698ms
27,1,100,2.194075ms
28,1,100,2.167288ms
29,1,100,2.300969ms
30,1,100,2.087128ms
31,1,100,2.104469ms
32,1,100,2.108861ms
33,1,100,2.189999ms
34,1,100,2.25297ms
35,1,100,2.558568ms
36,1,100,2.313193ms
37,1,100,2.30899ms
38,1,100,2.106375ms
39,1,100,2.105588ms
40,1,100,2.069258ms
41,1,100,2.096313ms
42,1,100,2.171707ms
43,1,100,2.137749ms
44,1,100,2.095643ms
45,1,100,2.094513ms
46,1,100,2.161284ms
47,1,100,2.508259ms
48,1,100,2.469713ms
49,1,100,2.16645ms
50,1,100,2.240404ms
