sample_number,cores,matrix_size,time
1,2,100,0.0003902
2,2,100,0.000793401
3,2,100,0.000542201
4,2,100,0.000412501
5,2,100,0.00056
6,2,100,0.000678801
7,2,100,0.0004078
8,2,100,0.000554301
9,2,100,0.0004834
10,2,100,0.000423301
11,2,100,0.0005876
12,2,100,0.0004615
13,2,100,0.0005358
14,2,100,0.0006873
15,2,100,0.000391501
16,2,100,0.0005531
17,2,100,0.0004305
18,2,100,0.0005824
19,2,100,0.0006987
20,2,100,0.000604101
21,2,100,0.000369501
22,2,100,0.0004362
23,2,100,0.000547001
24,2,100,0.0006779
25,2,100,0.0004651
26,2,100,0.0004613
27,2,100,0.0006582
28,2,100,0.0005507
29,2,100,0.000503501
30,2,100,0.0004436
31,2,100,0.000429401
32,2,100,0.0003938
33,2,100,0.0004914
34,2,100,0.0005415
35,2,100,0.0006699
36,2,100,0.000464101
37,2,100,0.0005267
38,2,100,0.000642701
39,2,100,0.0005204
40,2,100,0.0004432
41,2,100,0.0005008
42,2,100,0.0003896
43,2,100,0.000610501
44,2,100,0.000414
45,2,100,0.000415601
46,2,100,0.0008146
47,2,100,0.0005645
48,2,100,0.000690801
49,2,100,0.000494
50,2,100,0.000887201
