sample_number,cores,matrix_size,time
1,1,100,0.000545001
2,1,100,0.0006243
3,1,100,0.000595001
4,1,100,0.0006344
5,1,100,0.0006101
6,1,100,0.000577601
7,1,100,0.0006656
8,1,100,0.000555
9,1,100,0.000713901
10,1,100,0.0006611
11,1,100,0.000675401
12,1,100,0.0006474
13,1,100,0.0006006
14,1,100,0.000698601
15,1,100,0.0007275
16,1,100,0.0006276
17,1,100,0.000661101
18,1,100,0.0005911
19,1,100,0.000602
20,1,100,0.000555901
21,1,100,0.0005761
22,1,100,0.000582901
23,1,100,0.0006055
24,1,100,0.000733601
25,1,100,0.0007766
26,1,100,0.0004957
27,1,100,0.000816501
28,1,100,0.000647101
29,1,100,0.000714901
30,1,100,0.0007183
31,1,100,0.0008244
32,1,100,0.0009602
33,1,100,0.0007344
34,1,100,0.0006653
35,1,100,0.000666201
36,1,100,0.000681701
37,1,100,0.0006336
38,1,100,0.000626101
39,1,100,0.000643001
40,1,100,0.0005616
41,1,100,0.000642801
42,1,100,0.0006705
43,1,100,0.0007585
44,1,100,0.0005972
45,1,100,0.000564501
46,1,100,0.0005931
47,1,100,0.000694701
48,1,100,0.000890501
49,1,100,0.0005804
50,1,100,0.000642101
