sample_number,cores,matrix_size,time
1,2,4000,11.6112
2,2,4000,12.3753
3,2,4000,12.0032
4,2,4000,11.4586
5,2,4000,11.9693
6,2,4000,11.4535
7,2,4000,12.3481
8,2,4000,11.4731
9,2,4000,11.5408
10,2,4000,11.4851
11,2,4000,11.457
12,2,4000,11.4554
13,2,4000,11.4907
14,2,4000,11.4788
15,2,4000,11.4621
16,2,4000,11.4564
17,2,4000,11.4729
18,2,4000,11.4679
19,2,4000,11.8122
20,2,4000,11.4419
21,2,4000,11.4364
22,2,4000,12.2745
23,2,4000,11.8477
24,2,4000,11.3993
25,2,4000,12.2469
26,2,4000,11.5238
27,2,4000,11.5183
28,2,4000,11.4081
29,2,4000,11.3966
30,2,4000,11.6391
31,2,4000,11.4411
32,2,4000,11.4681
33,2,4000,11.5524
34,2,4000,12.3718
35,2,4000,11.6518
36,2,4000,11.5062
37,2,4000,11.4457
38,2,4000,11.4605
39,2,4000,11.4844
40,2,4000,11.893
41,2,4000,11.3979
42,2,4000,11.493
43,2,4000,11.6692
44,2,4000,12.0202
45,2,4000,11.5377
46,2,4000,11.6936
47,2,4000,11.4876
48,2,4000,11.6945
49,2,4000,11.4444
50,2,4000,11.4117
