sample_number,cores,matrix_size,time
1,4,100,0.0004811
2,4,100,0.0006258
3,4,100,0.0004472
4,4,100,0.0007911
5,4,100,0.0004332
6,4,100,0.000696
7,4,100,0.0007266
8,4,100,0.0005673
9,4,100,0.000421
10,4,100,0.0006449
11,4,100,0.0007811
12,4,100,0.000636
13,4,100,0.001185
14,4,100,0.0008164
15,4,100,0.0005128
16,4,100,0.0009001
17,4,100,0.0006489
18,4,100,0.0006946
19,4,100,0.0006253
20,4,100,0.0007001
21,4,100,0.00056
22,4,100,0.0006551
23,4,100,0.0006897
24,4,100,0.0005315
25,4,100,0.0006722
26,4,100,0.0006274
27,4,100,0.0006662
28,4,100,0.0003927
29,4,100,0.0007602
30,4,100,0.000789
31,4,100,0.0006807
32,4,100,0.0008224
33,4,100,0.0005949
34,4,100,0.0006499
35,4,100,0.000617
36,4,100,0.0004639
37,4,100,0.0006465
38,4,100,0.0006943
39,4,100,0.000699
40,4,100,0.0008109
41,4,100,0.0006113
42,4,100,0.0007956
43,4,100,0.0006876
44,4,100,0.0005755
45,4,100,0.0005779
46,4,100,0.0006902
47,4,100,0.0005788
48,4,100,0.0007115
49,4,100,0.0006918
50,4,100,0.0005349
