sample_number,cores,matrix_size,time
1,2,4000,161.769
2,2,4000,171.209
3,2,4000,174.325
4,2,4000,179.341
5,2,4000,176.825
6,2,4000,174.697
7,2,4000,178.864
8,2,4000,177.813
9,2,4000,176.907
10,2,4000,177.964
11,2,4000,174.767
12,2,4000,176.434
13,2,4000,175.502
14,2,4000,179.549
15,2,4000,175.732
16,2,4000,178.041
17,2,4000,177.456
18,2,4000,178.171
19,2,4000,176.999
20,2,4000,177.132
21,2,4000,179.722
22,2,4000,174.194
23,2,4000,175.878
24,2,4000,178.409
25,2,4000,175.301
26,2,4000,178.057
27,2,4000,178.801
28,2,4000,178.603
29,2,4000,174.217
30,2,4000,176.771
31,2,4000,178.209
32,2,4000,175.541
33,2,4000,176.909
34,2,4000,178.046
35,2,4000,176.341
36,2,4000,176.961
37,2,4000,175.61
38,2,4000,176.09
39,2,4000,179.01
40,2,4000,177.49
41,2,4000,175.973
42,2,4000,178.479
43,2,4000,178.044
44,2,4000,174.606
45,2,4000,174.445
46,2,4000,178.481
47,2,4000,176.049
48,2,4000,177.063
49,2,4000,179.046
50,2,4000,178.479
