sample_number,cores,matrix_size,time
1,4,100,8.365915ms
2,4,100,5.360709ms
3,4,100,5.78181ms
4,4,100,5.515709ms
5,4,100,5.28531ms
6,4,100,5.196509ms
7,4,100,9.680417ms
8,4,100,5.830211ms
9,4,100,5.946611ms
10,4,100,5.81041ms
11,4,100,5.859111ms
12,4,100,5.120709ms
13,4,100,5.67831ms
14,4,100,5.70381ms
15,4,100,5.205709ms
16,4,100,4.953008ms
17,4,100,5.093209ms
18,4,100,5.853411ms
19,4,100,5.22461ms
20,4,100,9.316117ms
21,4,100,8.264115ms
22,4,100,5.53891ms
23,4,100,5.75281ms
24,4,100,5.305409ms
25,4,100,5.086509ms
26,4,100,5.79241ms
27,4,100,5.163409ms
28,4,100,9.898717ms
29,4,100,5.50801ms
30,4,100,5.66441ms
31,4,100,5.824211ms
32,4,100,5.75891ms
33,4,100,5.228009ms
34,4,100,8.691315ms
35,4,100,5.501109ms
36,4,100,9.276516ms
37,4,100,5.49251ms
38,4,100,6.064011ms
39,4,100,5.73851ms
40,4,100,5.132609ms
41,4,100,5.68491ms
42,4,100,5.238409ms
43,4,100,5.75721ms
44,4,100,5.41031ms
45,4,100,8.907016ms
46,4,100,9.278217ms
47,4,100,5.82261ms
48,4,100,6.407312ms
49,4,100,5.085209ms
50,4,100,5.533909ms
