sample_number,cores,matrix_size,time
1,4,2000,10.557161616s
2,4,2000,10.5662639s
3,4,2000,10.563400277s
4,4,2000,10.54321184s
5,4,2000,10.582330336s
6,4,2000,10.581526509s
7,4,2000,10.551412863s
8,4,2000,10.609555166s
9,4,2000,10.51748688s
10,4,2000,10.557548271s
11,4,2000,10.517796212s
12,4,2000,10.59188432s
13,4,2000,10.558799263s
14,4,2000,10.611008756s
15,4,2000,10.630306329s
16,4,2000,10.603408571s
17,4,2000,10.554574197s
18,4,2000,10.610671889s
19,4,2000,10.607450443s
20,4,2000,10.599840792s
21,4,2000,10.567593424s
22,4,2000,10.57488058s
23,4,2000,10.625911764s
24,4,2000,10.616147907s
25,4,2000,10.631885667s
26,4,2000,10.587417284s
27,4,2000,10.57098802s
28,4,2000,10.56456596s
29,4,2000,10.611181037s
30,4,2000,10.634671897s
31,4,2000,10.580108201s
32,4,2000,10.657915898s
33,4,2000,10.613124207s
34,4,2000,10.605042042s
35,4,2000,10.627848898s
36,4,2000,10.638758944s
37,4,2000,10.564863028s
38,4,2000,10.574421772s
39,4,2000,10.559846196s
40,4,2000,10.593795657s
41,4,2000,10.597637593s
42,4,2000,10.675292985s
43,4,2000,10.658018606s
44,4,2000,10.678555253s
45,4,2000,10.614962038s
46,4,2000,10.585472946s
47,4,2000,10.628610709s
48,4,2000,10.608115723s
49,4,2000,10.580549431s
50,4,2000,10.680505035s
