sample_number,cores,matrix_size,time
1,1,5000,5m30.030479047s
2,1,5000,5m30.953167494s
3,1,5000,5m29.005426836s
4,1,5000,5m33.608128341s
5,1,5000,5m30.471902754s
6,1,5000,5m29.999226603s
7,1,5000,5m27.024495184s
8,1,5000,5m30.733203651s
9,1,5000,5m29.985625691s
10,1,5000,5m27.707946717s
11,1,5000,5m38.571999894s
12,1,5000,5m34.82238456s
13,1,5000,5m35.319682167s
14,1,5000,5m34.058125833s
15,1,5000,5m32.718742158s
16,1,5000,5m33.097488794s
17,1,5000,5m34.961651934s
18,1,5000,5m33.89278213s
19,1,5000,5m35.575818747s
20,1,5000,5m32.844532734s
21,1,5000,5m33.977858152s
22,1,5000,5m32.729165015s
23,1,5000,5m34.324614231s
24,1,5000,5m37.131168769s
25,1,5000,5m30.33724369s
26,1,5000,5m24.381798348s
27,1,5000,5m24.410562914s
28,1,5000,5m27.164489038s
29,1,5000,5m27.702785378s
30,1,5000,5m26.877840832s
31,1,5000,5m25.161278922s
32,1,5000,5m24.623600723s
33,1,5000,5m25.288683407s
34,1,5000,5m25.282632219s
35,1,5000,5m25.353230228s
36,1,5000,5m24.596204379s
37,1,5000,5m23.847981374s
38,1,5000,5m23.861961819s
39,1,5000,5m24.633772282s
40,1,5000,5m24.866879559s
41,1,5000,5m25.792912666s
42,1,5000,5m23.909480982s
43,1,5000,5m22.029202947s
44,1,5000,5m22.685562797s
45,1,5000,5m22.051731058s
46,1,5000,5m21.254851782s
47,1,5000,5m21.684431551s
48,1,5000,5m23.700402674s
49,1,5000,5m22.327210281s
50,1,5000,5m22.870431266s
