sample_number,cores,matrix_size,time
1,2,4000,1m14.836061827s
2,2,4000,1m14.621446157s
3,2,4000,1m14.749596055s
4,2,4000,1m14.622721586s
5,2,4000,1m14.492093371s
6,2,4000,1m15.109508727s
7,2,4000,1m14.425607104s
8,2,4000,1m14.828762404s
9,2,4000,1m14.199378127s
10,2,4000,1m14.756974126s
11,2,4000,1m14.822683653s
12,2,4000,1m14.469432528s
13,2,4000,1m14.204663742s
14,2,4000,1m14.748579671s
15,2,4000,1m14.388948926s
16,2,4000,1m14.693912994s
17,2,4000,1m14.453823016s
18,2,4000,1m14.522850129s
19,2,4000,1m14.873146142s
20,2,4000,1m14.379940306s
21,2,4000,1m14.553311314s
22,2,4000,1m14.705386326s
23,2,4000,1m14.466349128s
24,2,4000,1m14.2553894s
25,2,4000,1m14.482917766s
26,2,4000,1m14.429431466s
27,2,4000,1m14.501637806s
28,2,4000,1m15.253528439s
29,2,4000,1m14.265408854s
30,2,4000,1m14.6191163s
31,2,4000,1m14.874522222s
32,2,4000,1m14.465480881s
33,2,4000,1m14.470602788s
34,2,4000,1m14.635994023s
35,2,4000,1m14.536862091s
36,2,4000,1m14.197520676s
37,2,4000,1m14.325099251s
38,2,4000,1m14.277797284s
39,2,4000,1m14.494656843s
40,2,4000,1m15.088712228s
41,2,4000,1m14.556283692s
42,2,4000,1m14.568781811s
43,2,4000,1m14.211797536s
44,2,4000,1m14.317688449s
45,2,4000,1m14.501149935s
46,2,4000,1m14.49592299s
47,2,4000,1m14.873293258s
48,2,4000,1m15.268211227s
49,2,4000,1m14.527483874s
50,2,4000,1m14.769456574s
