sample_number,cores,matrix_size,time
1,1,100,3.309493ms
2,1,100,3.691659ms
3,1,100,3.677119ms
4,1,100,3.28389ms
5,1,100,3.307133ms
6,1,100,2.540685ms
7,1,100,2.835595ms
8,1,100,2.857408ms
9,1,100,2.479961ms
10,1,100,2.631295ms
11,1,100,2.494615ms
12,1,100,3.054249ms
13,1,100,3.536961ms
14,1,100,3.606852ms
15,1,100,2.938286ms
16,1,100,2.870992ms
17,1,100,2.871779ms
18,1,100,2.712085ms
19,1,100,2.711326ms
20,1,100,3.259058ms
21,1,100,3.18376ms
22,1,100,3.00467ms
23,1,100,2.968988ms
24,1,100,3.541324ms
25,1,100,3.688568ms
26,1,100,2.460347ms
27,1,100,2.546507ms
28,1,100,2.751559ms
29,1,100,2.706631ms
30,1,100,2.720972ms
31,1,100,3.611757ms
32,1,100,3.728411ms
33,1,100,3.730015ms
34,1,100,3.718587ms
35,1,100,2.476835ms
36,1,100,2.452943ms
37,1,100,2.523745ms
38,1,100,2.545671ms
39,1,100,2.55114ms
40,1,100,2.968921ms
41,1,100,3.552137ms
42,1,100,3.682857ms
43,1,100,2.458052ms
44,1,100,2.474904ms
45,1,100,3.24343ms
46,1,100,3.331195ms
47,1,100,3.170338ms
48,1,100,3.179025ms
49,1,100,2.436877ms
50,1,100,2.53958ms
