sample_number,cores,matrix_size,time
1,4,4000,1m14.109577393s
2,4,4000,1m14.108238214s
3,4,4000,1m13.884664883s
4,4,4000,1m14.114864166s
5,4,4000,1m14.021794933s
6,4,4000,1m14.100855267s
7,4,4000,1m14.57731284s
8,4,4000,1m14.314995937s
9,4,4000,1m14.325718041s
10,4,4000,1m14.407494064s
11,4,4000,1m14.171016088s
12,4,4000,1m14.265307419s
13,4,4000,1m14.43710282s
14,4,4000,1m14.190656694s
15,4,4000,1m14.342640556s
16,4,4000,1m14.149345451s
17,4,4000,1m14.247985386s
18,4,4000,1m13.948683029s
19,4,4000,1m14.198470891s
20,4,4000,1m13.97430782s
21,4,4000,1m13.985424477s
22,4,4000,1m13.856200722s
23,4,4000,1m13.970361108s
24,4,4000,1m13.941874885s
25,4,4000,1m13.981982894s
26,4,4000,1m13.965020254s
27,4,4000,1m13.896424371s
28,4,4000,1m13.955658763s
29,4,4000,1m13.975596522s
30,4,4000,1m13.841465046s
31,4,4000,1m14.141022864s
32,4,4000,1m13.918489566s
33,4,4000,1m13.974471528s
34,4,4000,1m14.157837884s
35,4,4000,1m14.001303459s
36,4,4000,1m14.088758418s
37,4,4000,1m14.067221754s
38,4,4000,1m13.981727402s
39,4,4000,1m13.988627665s
40,4,4000,1m14.085946851s
41,4,4000,1m13.696636197s
42,4,4000,1m13.983185144s
43,4,4000,1m13.8459263s
44,4,4000,1m13.723662145s
45,4,4000,1m14.287410113s
46,4,4000,1m14.190686243s
47,4,4000,1m13.837561697s
48,4,4000,1m14.14124776s
49,4,4000,1m14.026823346s
50,4,4000,1m13.946743445s
