sample_number,cores,matrix_size,time
1,4,5000,2m18.099373869s
2,4,5000,2m16.167845626s
3,4,5000,2m16.506613379s
4,4,5000,2m16.285970007s
5,4,5000,2m16.282372575s
6,4,5000,2m16.165836848s
7,4,5000,2m15.940321086s
8,4,5000,2m16.524261787s
9,4,5000,2m17.101143068s
10,4,5000,2m16.875041571s
11,4,5000,2m17.071105364s
12,4,5000,2m17.071159538s
13,4,5000,2m16.731549573s
14,4,5000,2m16.51710573s
15,4,5000,2m15.79368989s
16,4,5000,2m15.625643522s
17,4,5000,2m21.237120639s
18,4,5000,2m16.283882116s
19,4,5000,2m16.342825626s
20,4,5000,2m15.908420259s
21,4,5000,2m15.972421566s
22,4,5000,2m15.589234425s
23,4,5000,2m15.715787919s
24,4,5000,2m16.098328054s
25,4,5000,2m16.201372749s
26,4,5000,2m15.710331307s
27,4,5000,2m15.682408043s
28,4,5000,2m15.623999609s
29,4,5000,2m15.516240251s
30,4,5000,2m15.082261624s
31,4,5000,2m14.932726459s
32,4,5000,2m15.179480672s
33,4,5000,2m15.446768168s
34,4,5000,2m15.684863343s
35,4,5000,2m15.712427714s
36,4,5000,2m16.05819054s
37,4,5000,2m15.667780376s
38,4,5000,2m15.859832776s
39,4,5000,2m15.489495246s
40,4,5000,2m15.42151972s
41,4,5000,2m15.478168658s
42,4,5000,2m15.335593698s
43,4,5000,2m15.517999926s
44,4,5000,2m15.872012573s
45,4,5000,2m16.058159022s
46,4,5000,2m15.918181659s
47,4,5000,2m16.044280676s
48,4,5000,2m16.166116664s
49,4,5000,2m15.870025834s
50,4,5000,2m15.769558485s
