sample_number,cores,matrix_size,time
1,4,5000,20.7775
2,4,5000,20.8997
3,4,5000,20.8871
4,4,5000,20.8305
5,4,5000,20.9576
6,4,5000,20.9141
7,4,5000,20.9659
8,4,5000,20.8568
9,4,5000,20.7454
10,4,5000,20.9119
11,4,5000,20.73
12,4,5000,20.8244
13,4,5000,20.6852
14,4,5000,20.8914
15,4,5000,20.9462
16,4,5000,20.883
17,4,5000,20.7201
18,4,5000,20.8692
19,4,5000,20.95
20,4,5000,20.7953
21,4,5000,20.67
22,4,5000,20.7994
23,4,5000,20.8914
24,4,5000,20.565
25,4,5000,20.8766
26,4,5000,20.6795
27,4,5000,20.617
28,4,5000,20.8178
29,4,5000,20.8252
30,4,5000,20.7755
31,4,5000,20.8796
32,4,5000,20.6825
33,4,5000,20.8686
34,4,5000,20.6123
35,4,5000,20.6283
36,4,5000,20.8305
37,4,5000,20.8127
38,4,5000,20.633
39,4,5000,20.7958
40,4,5000,20.6225
41,4,5000,20.6179
42,4,5000,20.7905
43,4,5000,20.8703
44,4,5000,20.6133
45,4,5000,20.9168
46,4,5000,20.7952
47,4,5000,20.7311
48,4,5000,20.7361
49,4,5000,20.682
50,4,5000,20.654
