sample_number,cores,matrix_size,time
1,4,100,0.0003426
2,4,100,0.000387101
3,4,100,0.000470101
4,4,100,0.000285
5,4,100,0.000460801
6,4,100,0.0003913
7,4,100,0.000309501
8,4,100,0.0012961
9,4,100,0.0004154
10,4,100,0.0004951
11,4,100,0.000392801
12,4,100,0.0004869
13,4,100,0.000358601
14,4,100,0.0004527
15,4,100,0.0005539
16,4,100,0.0005009
17,4,100,0.000495501
18,4,100,0.0004518
19,4,100,0.000459701
20,4,100,0.0004225
21,4,100,0.000413501
22,4,100,0.0006107
23,4,100,0.000519601
24,4,100,0.000618901
25,4,100,0.0004403
26,4,100,0.000667
27,4,100,0.0004828
28,4,100,0.0005202
29,4,100,0.0004048
30,4,100,0.0004213
31,4,100,0.0004041
32,4,100,0.0003264
33,4,100,0.000430501
34,4,100,0.0005302
35,4,100,0.0003779
36,4,100,0.0004618
37,4,100,0.0003793
38,4,100,0.0004455
39,4,100,0.000426201
40,4,100,0.0005121
41,4,100,0.000442501
42,4,100,0.0003969
43,4,100,0.000550001
44,4,100,0.0005676
45,4,100,0.0003953
46,4,100,0.0004832
47,4,100,0.0005035
48,4,100,0.000527101
49,4,100,0.0003945
50,4,100,0.000648601
