sample_number,cores,matrix_size,time
1,1,5000,3m58.767213187s
2,1,5000,3m58.708743932s
3,1,5000,3m58.753216658s
4,1,5000,3m58.909891233s
5,1,5000,3m59.001699785s
6,1,5000,3m58.812585708s
7,1,5000,3m59.80392058s
8,1,5000,3m59.213649682s
9,1,5000,4m2.677951538s
10,1,5000,4m0.165030986s
11,1,5000,3m58.7825739s
12,1,5000,3m59.135894373s
13,1,5000,3m58.798519055s
14,1,5000,3m58.996500154s
15,1,5000,3m58.784443998s
16,1,5000,4m0.571204923s
17,1,5000,3m59.230471237s
18,1,5000,4m1.742794642s
19,1,5000,3m58.768825538s
20,1,5000,3m59.180026143s
21,1,5000,3m58.818429742s
22,1,5000,3m58.787192047s
23,1,5000,3m59.494230468s
24,1,5000,3m58.817553658s
25,1,5000,3m59.042428048s
26,1,5000,3m58.928810416s
27,1,5000,3m58.81988495s
28,1,5000,3m58.80453351s
29,1,5000,3m58.769671296s
30,1,5000,3m58.960883176s
31,1,5000,3m58.782660289s
32,1,5000,3m59.064721146s
33,1,5000,3m58.750267864s
34,1,5000,3m59.007590482s
35,1,5000,3m58.799424881s
36,1,5000,3m58.778695158s
37,1,5000,3m58.741423102s
38,1,5000,3m59.043983675s
39,1,5000,3m59.141037484s
40,1,5000,3m58.797979762s
41,1,5000,3m58.789269535s
42,1,5000,3m58.773298385s
43,1,5000,3m58.799245795s
44,1,5000,3m58.837917563s
45,1,5000,3m59.371048196s
46,1,5000,3m59.288155447s
47,1,5000,3m58.991738433s
48,1,5000,3m58.895556294s
49,1,5000,3m58.798718917s
50,1,5000,3m58.986468756s
