sample_number,cores,matrix_size,time
1,1,3000,51.598679314s
2,1,3000,51.591359841s
3,1,3000,51.590174011s
4,1,3000,51.624139158s
5,1,3000,51.597950858s
6,1,3000,51.604666153s
7,1,3000,51.594735795s
8,1,3000,51.601989903s
9,1,3000,51.624167666s
10,1,3000,51.597186448s
11,1,3000,51.595708787s
12,1,3000,51.595693496s
13,1,3000,51.648011662s
14,1,3000,51.596747256s
15,1,3000,51.60190161s
16,1,3000,51.601837327s
17,1,3000,51.582354459s
18,1,3000,51.596597642s
19,1,3000,51.608976353s
20,1,3000,51.607314599s
21,1,3000,51.592238797s
22,1,3000,51.62123022s
23,1,3000,51.600317806s
24,1,3000,51.616020136s
25,1,3000,51.593650955s
26,1,3000,51.591357728s
27,1,3000,51.591153409s
28,1,3000,51.600335394s
29,1,3000,51.625666511s
30,1,3000,51.606466275s
31,1,3000,51.654624582s
32,1,3000,51.596511293s
33,1,3000,51.598631162s
34,1,3000,51.621478242s
35,1,3000,51.594444961s
36,1,3000,51.604071407s
37,1,3000,51.600144782s
38,1,3000,51.661738318s
39,1,3000,51.593740593s
40,1,3000,51.597128076s
41,1,3000,51.600482427s
42,1,3000,51.593952689s
43,1,3000,51.594830904s
44,1,3000,51.605408716s
45,1,3000,51.618411718s
46,1,3000,51.59883446s
47,1,3000,51.607646924s
48,1,3000,51.617715906s
49,1,3000,51.587733923s
50,1,3000,51.617957335s
