sample_number,cores,matrix_size,time
1,2,4000,1m1.836166859s
2,2,4000,1m2.528919362s
3,2,4000,1m3.318201181s
4,2,4000,1m3.067354132s
5,2,4000,1m3.994746897s
6,2,4000,1m3.529852025s
7,2,4000,1m2.909857626s
8,2,4000,1m1.777029726s
9,2,4000,1m4.35331051s
10,2,4000,1m2.666981336s
11,2,4000,1m3.148247596s
12,2,4000,1m4.067808808s
13,2,4000,1m3.673432934s
14,2,4000,1m4.204236027s
15,2,4000,1m3.002042244s
16,2,4000,1m3.629650277s
17,2,4000,1m2.1829398s
18,2,4000,1m2.076740268s
19,2,4000,1m2.684586765s
20,2,4000,1m1.847212983s
21,2,4000,1m2.515083955s
22,2,4000,1m3.796059222s
23,2,4000,1m4.545438393s
24,2,4000,1m3.454506018s
25,2,4000,1m3.613236003s
26,2,4000,1m2.192188818s
27,2,4000,1m3.39966154s
28,2,4000,1m2.496944373s
29,2,4000,1m3.498865787s
30,2,4000,1m2.842659735s
31,2,4000,1m3.980285436s
32,2,4000,1m4.240517831s
33,2,4000,1m2.672316572s
34,2,4000,1m2.94631538s
35,2,4000,1m3.974416275s
36,2,4000,1m1.888237475s
37,2,4000,1m3.630128779s
38,2,4000,1m2.290245432s
39,2,4000,1m3.37447593s
40,2,4000,1m3.299818497s
41,2,4000,1m3.352004704s
42,2,4000,1m3.350890032s
43,2,4000,1m4.369077992s
44,2,4000,1m4.041146504s
45,2,4000,1m3.828742463s
46,2,4000,1m4.32375339s
47,2,4000,1m2.775636124s
48,2,4000,1m3.650154476s
49,2,4000,1m2.939794941s
50,2,4000,1m2.675648584s
