sample_number,cores,matrix_size,time
1,2,100,0.000705
2,2,100,0.0006664
3,2,100,0.0006214
4,2,100,0.0005948
5,2,100,0.0005963
6,2,100,0.0006573
7,2,100,0.0007903
8,2,100,0.0010555
9,2,100,0.0008275
10,2,100,0.0007034
11,2,100,0.0009479
12,2,100,0.0006672
13,2,100,0.0005882
14,2,100,0.0006501
15,2,100,0.0008047
16,2,100,0.0007512
17,2,100,0.0006233
18,2,100,0.0007617
19,2,100,0.0013712
20,2,100,0.0007524
21,2,100,0.0006898
22,2,100,0.0007227
23,2,100,0.0008469
24,2,100,0.0006509
25,2,100,0.0007493
26,2,100,0.0007858
27,2,100,0.0007473
28,2,100,0.000548
29,2,100,0.0006739
30,2,100,0.0010469
31,2,100,0.0006325
32,2,100,0.0010317
33,2,100,0.0006611
34,2,100,0.0006797
35,2,100,0.0007663
36,2,100,0.0005533
37,2,100,0.0007996
38,2,100,0.0006891
39,2,100,0.0008192
40,2,100,0.0009704
41,2,100,0.000855
42,2,100,0.0006847
43,2,100,0.000662
44,2,100,0.0006415
45,2,100,0.0007131
46,2,100,0.0006556
47,2,100,0.0006849
48,2,100,0.0006924
49,2,100,0.0006391
50,2,100,0.000762
