sample_number,cores,matrix_size,time
1,1,100,0.0050457
2,1,100,0.0054408
3,1,100,0.005785
4,1,100,0.0052947
5,1,100,0.0049424
6,1,100,0.0048357
7,1,100,0.0048382
8,1,100,0.0051523
9,1,100,0.0048426
10,1,100,0.0050755
11,1,100,0.0048824
12,1,100,0.0048866
13,1,100,0.0052679
14,1,100,0.0046565
15,1,100,0.0049128
16,1,100,0.0049059
17,1,100,0.0052061
18,1,100,0.0053627
19,1,100,0.0059479
20,1,100,0.0053919
21,1,100,0.0054172
22,1,100,0.0052479
23,1,100,0.0054313
24,1,100,0.0051101
25,1,100,0.0047927
26,1,100,0.0051323
27,1,100,0.0051211
28,1,100,0.0050749
29,1,100,0.004891
30,1,100,0.0052161
31,1,100,0.0050109
32,1,100,0.005071
33,1,100,0.0049492
34,1,100,0.0050516
35,1,100,0.0047627
36,1,100,0.0052973
37,1,100,0.0055464
38,1,100,0.0051712
39,1,100,0.0059495
40,1,100,0.0051521
41,1,100,0.0052262
42,1,100,0.0051481
43,1,100,0.0062913
44,1,100,0.0053324
45,1,100,0.0048882
46,1,100,0.0049856
47,1,100,0.0047704
48,1,100,0.0048181
49,1,100,0.0048213
50,1,100,0.0050767
51,1,100,0.004708
52,1,100,0.0050207
53,1,100,0.0051311
54,1,100,0.0045478
55,1,100,0.0049855
56,1,100,0.0048031
57,1,100,0.0048106
58,1,100,0.0047624
59,1,100,0.0049413
60,1,100,0.004571
61,1,100,0.0046669
62,1,100,0.0053252
63,1,100,0.0048845
64,1,100,0.0049088
65,1,100,0.0052363
66,1,100,0.0047949
67,1,100,0.0046877
68,1,100,0.0051887
69,1,100,0.0052709
70,1,100,0.0051008
71,1,100,0.0052035
72,1,100,0.0049331
73,1,100,0.0049269
74,1,100,0.0048588
75,1,100,0.0048819
76,1,100,0.0051441
77,1,100,0.0049675
78,1,100,0.0051543
79,1,100,0.005072
80,1,100,0.0048869
81,1,100,0.0048478
82,1,100,0.0050392
83,1,100,0.0047277
84,1,100,0.0048258
85,1,100,0.0048498
86,1,100,0.0054422
87,1,100,0.0052091
88,1,100,0.0051276
89,1,100,0.004961
90,1,100,0.0052674
91,1,100,0.0055675
92,1,100,0.0057942
93,1,100,0.005343
94,1,100,0.0054809
95,1,100,0.0050266
96,1,100,0.0054941
97,1,100,0.0048475
98,1,100,0.0049448
99,1,100,0.0047188
100,1,100,0.0047977
