sample_number,cores,matrix_size,time
1,2,1000,3.55032
2,2,1000,3.44654
3,2,1000,3.28626
4,2,1000,3.46046
5,2,1000,3.4201
6,2,1000,3.24231
7,2,1000,3.42232
8,2,1000,3.45174
9,2,1000,3.25628
10,2,1000,3.48656
11,2,1000,3.47564
12,2,1000,3.30944
13,2,1000,3.51447
14,2,1000,3.50679
15,2,1000,3.50589
16,2,1000,3.66072
17,2,1000,3.5739
18,2,1000,3.46382
19,2,1000,3.47757
20,2,1000,3.41247
21,2,1000,3.46579
22,2,1000,3.47807
23,2,1000,3.40452
24,2,1000,3.45262
25,2,1000,3.45331
26,2,1000,3.42003
27,2,1000,3.56946
28,2,1000,3.4523
29,2,1000,3.3977
30,2,1000,3.50975
31,2,1000,3.46241
32,2,1000,3.31136
33,2,1000,3.45973
34,2,1000,3.55203
35,2,1000,3.30835
36,2,1000,3.43073
37,2,1000,3.46929
38,2,1000,3.38647
39,2,1000,3.46676
40,2,1000,3.46956
41,2,1000,3.33368
42,2,1000,3.45464
43,2,1000,3.47487
44,2,1000,3.31878
45,2,1000,3.4555
46,2,1000,3.47862
47,2,1000,3.34529
48,2,1000,3.49941
49,2,1000,3.42425
50,2,1000,3.27625
51,2,1000,3.45253
52,2,1000,3.45594
53,2,1000,3.38832
54,2,1000,3.51775
55,2,1000,3.51584
56,2,1000,3.30857
57,2,1000,3.49875
58,2,1000,3.48661
59,2,1000,3.31474
60,2,1000,3.44892
61,2,1000,3.50874
62,2,1000,3.28746
63,2,1000,3.50316
64,2,1000,3.52052
65,2,1000,3.37761
66,2,1000,3.53501
67,2,1000,3.44198
68,2,1000,3.36299
69,2,1000,3.51372
70,2,1000,3.54679
71,2,1000,3.22463
72,2,1000,3.53997
73,2,1000,3.48603
74,2,1000,3.17684
75,2,1000,3.43313
76,2,1000,3.46683
77,2,1000,3.30781
78,2,1000,3.50974
79,2,1000,3.50734
80,2,1000,3.45782
81,2,1000,3.48283
82,2,1000,3.45766
83,2,1000,3.57077
84,2,1000,3.59992
85,2,1000,3.55534
86,2,1000,3.529
87,2,1000,3.5744
88,2,1000,3.42154
89,2,1000,3.52217
90,2,1000,3.52411
91,2,1000,3.36015
92,2,1000,3.42666
93,2,1000,3.46509
94,2,1000,3.38511
95,2,1000,3.47012
96,2,1000,3.51017
97,2,1000,3.32128
98,2,1000,3.48359
99,2,1000,3.48549
100,2,1000,3.40967
