sample_number,cores,matrix_size,time
1,2,2000,11.5235
2,2,2000,11.5848
3,2,2000,10.5315
4,2,2000,9.74547
5,2,2000,10.7861
6,2,2000,9.80504
7,2,2000,11.4847
8,2,2000,10.625
9,2,2000,9.59982
10,2,2000,10.8856
11,2,2000,11.5303
12,2,2000,11.6924
13,2,2000,11.6397
14,2,2000,11.2172
15,2,2000,10.957
16,2,2000,10.9741
17,2,2000,11.8997
18,2,2000,11.782
19,2,2000,9.48092
20,2,2000,9.95702
21,2,2000,11.6767
22,2,2000,12.3925
23,2,2000,12.428
24,2,2000,11.8425
25,2,2000,11.6613
26,2,2000,10.0699
27,2,2000,11.8168
28,2,2000,10.4999
29,2,2000,12.9195
30,2,2000,11.6938
31,2,2000,11.6462
32,2,2000,10.8626
33,2,2000,10.9668
34,2,2000,10.6645
35,2,2000,10.3387
36,2,2000,10.4444
37,2,2000,11.1326
38,2,2000,9.67313
39,2,2000,11.1656
40,2,2000,12.5686
41,2,2000,12.5882
42,2,2000,13.7398
43,2,2000,13.0022
44,2,2000,11.8729
45,2,2000,11.1573
46,2,2000,12.2862
47,2,2000,11.4051
48,2,2000,11.2789
49,2,2000,9.73025
50,2,2000,11.0456
