sample_number,cores,matrix_size,time
1,4,2000,0.949945
2,4,2000,0.749018
3,4,2000,0.746011
4,4,2000,0.749028
5,4,2000,0.748974
6,4,2000,0.755906
7,4,2000,0.840117
8,4,2000,0.945148
9,4,2000,0.770971
10,4,2000,0.775762
11,4,2000,0.750016
12,4,2000,0.749449
13,4,2000,0.744251
14,4,2000,0.816852
15,4,2000,0.915362
16,4,2000,0.971598
17,4,2000,0.971375
18,4,2000,0.915785
19,4,2000,0.966092
20,4,2000,0.976671
21,4,2000,1.04117
22,4,2000,0.976865
23,4,2000,1.03384
24,4,2000,0.98518
25,4,2000,0.984003
26,4,2000,0.942423
27,4,2000,0.940747
28,4,2000,0.953366
29,4,2000,0.914423
30,4,2000,0.776794
31,4,2000,0.778877
32,4,2000,0.943632
33,4,2000,0.969608
34,4,2000,0.939787
35,4,2000,0.990014
36,4,2000,0.985285
37,4,2000,0.933418
38,4,2000,0.905972
39,4,2000,1.01428
40,4,2000,0.92118
41,4,2000,0.915947
42,4,2000,1.09462
43,4,2000,0.994921
44,4,2000,0.966406
45,4,2000,0.891222
46,4,2000,0.948155
47,4,2000,0.92674
48,4,2000,0.943236
49,4,2000,0.928175
50,4,2000,0.908577
