sample_number,cores,matrix_size,time
1,2,1000,0.164433
2,2,1000,0.15758
3,2,1000,0.158429
4,2,1000,0.157502
5,2,1000,0.156638
6,2,1000,0.157462
7,2,1000,0.157994
8,2,1000,0.158955
9,2,1000,0.157717
10,2,1000,0.15784
11,2,1000,0.158718
12,2,1000,0.156855
13,2,1000,0.157393
14,2,1000,0.15905
15,2,1000,0.156562
16,2,1000,0.158753
17,2,1000,0.158148
18,2,1000,0.157951
19,2,1000,0.157298
20,2,1000,0.158894
21,2,1000,0.157997
22,2,1000,0.157474
23,2,1000,0.156592
24,2,1000,0.158278
25,2,1000,0.158504
26,2,1000,0.158327
27,2,1000,0.157901
28,2,1000,0.157958
29,2,1000,0.158286
30,2,1000,0.158256
31,2,1000,0.157634
32,2,1000,0.158887
33,2,1000,0.158018
34,2,1000,0.158709
35,2,1000,0.157372
36,2,1000,0.159935
37,2,1000,0.159713
38,2,1000,0.156821
39,2,1000,0.157687
40,2,1000,0.157285
41,2,1000,0.159363
42,2,1000,0.158082
43,2,1000,0.156981
44,2,1000,0.157564
45,2,1000,0.15718
46,2,1000,0.157385
47,2,1000,0.158838
48,2,1000,0.157668
49,2,1000,0.158099
50,2,1000,0.15754
