sample_number,cores,matrix_size,time
1,1,3000,4m18.473719097s
2,1,3000,4m14.156563511s
3,1,3000,4m18.721527337s
4,1,3000,4m12.582891394s
5,1,3000,4m15.89968711s
6,1,3000,4m16.042915814s
7,1,3000,4m15.609989871s
8,1,3000,4m16.098622907s
9,1,3000,4m14.863248796s
10,1,3000,4m14.548881306s
11,1,3000,4m15.821412839s
12,1,3000,4m15.347353649s
13,1,3000,4m15.236530984s
14,1,3000,4m14.617215909s
15,1,3000,4m13.43534328s
16,1,3000,4m17.281129557s
17,1,3000,4m17.835098226s
18,1,3000,4m18.098805034s
19,1,3000,4m15.751594776s
20,1,3000,4m16.944745306s
21,1,3000,4m17.057906465s
22,1,3000,4m15.530025602s
23,1,3000,4m17.20685366s
24,1,3000,4m18.243172068s
25,1,3000,4m15.62075235s
26,1,3000,4m16.080877126s
27,1,3000,4m32.3688753s
28,1,3000,4m12.441217552s
29,1,3000,4m14.39316094s
30,1,3000,4m17.082308925s
31,1,3000,4m12.410231454s
32,1,3000,4m15.334057741s
33,1,3000,4m14.796994191s
34,1,3000,4m13.023750004s
35,1,3000,4m11.548312361s
36,1,3000,4m14.016240753s
37,1,3000,4m13.816904987s
38,1,3000,4m11.688371635s
39,1,3000,4m13.902508068s
40,1,3000,4m19.615167232s
41,1,3000,4m14.704876492s
42,1,3000,4m14.587059195s
43,1,3000,4m18.130887319s
44,1,3000,4m11.919644591s
45,1,3000,4m12.711574575s
46,1,3000,4m14.304273651s
47,1,3000,4m14.602719579s
48,1,3000,4m13.805554821s
49,1,3000,4m17.780664697s
50,1,3000,4m14.428202283s
