sample_number,cores,matrix_size,time
1,2,5000,16m20.266019488s
2,2,5000,15m31.092301327s
3,2,5000,15m52.962823072s
4,2,5000,15m54.995363039s
5,2,5000,17m6.133361484s
6,2,5000,15m31.497794699s
7,2,5000,15m45.292867006s
8,2,5000,16m45.488228867s
9,2,5000,16m10.905366545s
10,2,5000,16m10.032574228s
11,2,5000,15m50.713054078s
12,2,5000,15m25.838106464s
13,2,5000,15m30.118384857s
14,2,5000,14m57.500750899s
15,2,5000,15m41.613532366s
16,2,5000,16m13.160396234s
17,2,5000,15m19.736311167s
18,2,5000,16m32.054614828s
19,2,5000,16m17.621440236s
20,2,5000,15m44.55009928s
21,2,5000,16m26.953086301s
22,2,5000,15m56.761634188s
23,2,5000,15m39.138484805s
24,2,5000,16m18.533877667s
25,2,5000,15m44.03849971s
26,2,5000,15m11.621931037s
27,2,5000,14m33.898692566s
28,2,5000,15m59.47058278s
29,2,5000,17m1.196906399s
30,2,5000,15m30.392280779s
31,2,5000,14m55.890702384s
32,2,5000,15m1.446723005s
33,2,5000,16m22.867023569s
34,2,5000,14m32.537353424s
35,2,5000,16m18.058030881s
36,2,5000,15m50.935106812s
37,2,5000,16m22.945142763s
38,2,5000,15m18.808447251s
39,2,5000,15m47.392217327s
40,2,5000,13m44.324373598s
41,2,5000,15m44.2529821s
42,2,5000,17m12.946363081s
43,2,5000,16m4.415552678s
44,2,5000,16m8.063979763s
45,2,5000,15m29.07164218s
46,2,5000,15m21.111049338s
47,2,5000,14m24.160915995s
48,2,5000,15m30.28373404s
49,2,5000,15m52.056945885s
50,2,5000,14m17.633149712s
