sample_number,cores,matrix_size,time
1,4,3000,1m28.997066684s
2,4,3000,1m20.403689254s
3,4,3000,1m18.58024553s
4,4,3000,1m18.838085834s
5,4,3000,1m22.508357633s
6,4,3000,1m21.690142299s
7,4,3000,1m21.155272705s
8,4,3000,1m21.371019484s
9,4,3000,1m19.609338328s
10,4,3000,1m19.903295704s
11,4,3000,1m22.134149691s
12,4,3000,1m20.875426338s
13,4,3000,1m22.074270168s
14,4,3000,1m20.599004384s
15,4,3000,1m21.367123065s
16,4,3000,1m20.094610463s
17,4,3000,1m21.803071951s
18,4,3000,1m19.467971053s
19,4,3000,1m25.183772383s
20,4,3000,1m19.721892454s
21,4,3000,1m21.557504776s
22,4,3000,1m21.942970203s
23,4,3000,1m20.509849054s
24,4,3000,1m20.083760868s
25,4,3000,1m20.969068906s
26,4,3000,1m22.508662211s
27,4,3000,1m20.189935574s
28,4,3000,1m20.383698169s
29,4,3000,1m20.167345345s
30,4,3000,1m21.609694922s
31,4,3000,1m22.420906392s
32,4,3000,1m21.91550312s
33,4,3000,1m19.124222475s
34,4,3000,1m18.835727611s
35,4,3000,1m19.131578758s
36,4,3000,1m19.850895958s
37,4,3000,1m20.188402332s
38,4,3000,1m17.138618651s
39,4,3000,1m21.900835854s
40,4,3000,1m20.015029781s
41,4,3000,1m19.397201948s
42,4,3000,1m19.492829363s
43,4,3000,1m20.272174112s
44,4,3000,1m21.94419447s
45,4,3000,1m22.298707078s
46,4,3000,1m21.289052024s
47,4,3000,1m21.456432031s
48,4,3000,1m19.57188851s
49,4,3000,1m22.646300581s
50,4,3000,1m20.615500279s
