sample_number,cores,matrix_size,time
1,4,4000,5m29.399376373s
2,4,4000,5m18.023897902s
3,4,4000,4m59.715870282s
4,4,4000,5m27.576232551s
5,4,4000,5m13.520735252s
6,4,4000,4m56.647461836s
7,4,4000,5m21.960907092s
8,4,4000,5m11.14959133s
9,4,4000,4m49.436776269s
10,4,4000,5m28.208989532s
11,4,4000,5m25.181262089s
12,4,4000,5m11.076104596s
13,4,4000,4m55.646223782s
14,4,4000,5m27.679343382s
15,4,4000,5m14.409451928s
16,4,4000,4m57.325808723s
17,4,4000,5m28.364141399s
18,4,4000,5m17.463847834s
19,4,4000,5m5.378885374s
20,4,4000,5m21.204630654s
21,4,4000,5m8.381111373s
22,4,4000,4m47.385501958s
23,4,4000,5m20.407133225s
24,4,4000,5m12.303649489s
25,4,4000,4m50.652737871s
26,4,4000,5m26.867445079s
27,4,4000,5m18.767447961s
28,4,4000,5m5.435965722s
29,4,4000,5m23.808363332s
30,4,4000,5m13.295439426s
31,4,4000,4m58.181512231s
32,4,4000,5m20.000616657s
33,4,4000,5m7.392910397s
34,4,4000,5m26.995758966s
35,4,4000,5m20.601732254s
36,4,4000,5m6.540047822s
37,4,4000,5m24.347346459s
38,4,4000,5m13.217674416s
39,4,4000,5m30.960244695s
40,4,4000,5m23.425937469s
41,4,4000,5m15.168611463s
42,4,4000,4m58.397362024s
43,4,4000,5m27.051511347s
44,4,4000,5m15.613067177s
45,4,4000,4m58.213776604s
46,4,4000,5m28.398249491s
47,4,4000,5m22.664529926s
48,4,4000,5m8.28206121s
49,4,4000,4m51.704424092s
50,4,4000,5m26.217509442s
