sample_number,cores,matrix_size,time
1,1,2000,59.455600962s
2,1,2000,1m4.019198825s
3,1,2000,59.577197829s
4,1,2000,1m1.198279948s
5,1,2000,58.224693048s
6,1,2000,1m1.387022323s
7,1,2000,59.720779185s
8,1,2000,1m1.243368829s
9,1,2000,1m1.19827807s
10,1,2000,1m1.102862704s
11,1,2000,1m0.082633937s
12,1,2000,1m1.000124855s
13,1,2000,59.0536567s
14,1,2000,1m0.82960422s
15,1,2000,1m3.345683971s
16,1,2000,1m0.33030407s
17,1,2000,1m0.398535449s
18,1,2000,1m1.147153133s
19,1,2000,1m1.601896381s
20,1,2000,1m0.898831191s
21,1,2000,1m2.096052672s
22,1,2000,1m1.359409834s
23,1,2000,1m0.953396211s
24,1,2000,1m0.800163451s
25,1,2000,1m1.397684383s
26,1,2000,59.321541275s
27,1,2000,1m2.51333778s
28,1,2000,1m1.704117317s
29,1,2000,1m0.512538704s
30,1,2000,1m1.437130593s
31,1,2000,1m1.996246025s
32,1,2000,1m0.331773251s
33,1,2000,1m1.98661021s
34,1,2000,1m1.133204733s
35,1,2000,1m0.800406906s
36,1,2000,1m0.577952638s
37,1,2000,1m0.397123597s
38,1,2000,1m1.843345396s
39,1,2000,1m1.572129426s
40,1,2000,1m0.070422108s
41,1,2000,1m3.335847238s
42,1,2000,1m0.489990927s
43,1,2000,1m1.897727028s
44,1,2000,1m0.371074419s
45,1,2000,1m0.519206963s
46,1,2000,1m0.163066083s
47,1,2000,59.016126754s
48,1,2000,1m0.484416694s
49,1,2000,1m1.386928483s
50,1,2000,1m2.402041223s
